id	question	answer	Type	predicted_label	True-label
356	Do you like dogs?	Do not you like walking with them?	ambiguous	Yes	Yes
357	Are you looking for a job in New York?	If I can get a job you can decide yes or no to this question.	conditional	No	Yes
358	Are you looking for a job in New York?	Yesterday I dreamed that I had job.	sarcastic	Yes	Yes
359	Are you looking for a job in New York?	It is easier than find a dream house here.	contrastive	Yes	Yes
360	Are you looking for a job in New York?	My friends who live here for ten years help me.	ambiguous	Yes	Yes
361	Would you like to grab a coffee?	If you pay for me.	conditional	No	Yes
362	Would you like to grab a coffee?	Caffeine is my drug.	sarcastic	Yes	Yes
363	Would you like to grab a coffee?	Caffeine is more energizing than cola.	contrastive	Yes	Yes
364	Would you like to grab a coffee?	I thought you'd never ask.	ambiguous	No	Yes
365	Want to try my favorite restaurant ever?	If you like then I want to give it a shot.	conditional	Yes	Yes
366	Want to try my favorite restaurant ever?	I trust your taste completely.	sarcastic	No	Yes
367	Want to try my favorite restaurant ever?	I’ve been curious since you mentioned it.	contrastive	Yes	Yes
368	Want to try my favorite restaurant ever?	Can I have the adress?	ambiguous	Yes	Yes
369	Do you want large portions?	If I had something then no.	conditional	No	Yes
370	Do you want large portions?	I eat like it’s a sport.	sarcastic	Yes	Yes
371	Do you want large portions?	The more the better.	contrastive	Yes	Yes
372	Do you want large portions?	I do not eat breakfast.	ambiguous	No	Yes
373	Do you get on with your colleagues?	If I could work with them forever.	conditional	Yes	Yes
374	Do you get on with your colleagues?	We got sitcom-level chemistry.	sarcastic	Yes	Yes
375	Do you get on with your colleagues?	If I met them earlier it would be better.	contrastive	No	Yes
376	Do you get on with your colleagues?	We still connect each other after work.	ambiguous	Yes	Yes
377	Are you interested in history or historical novels?	If it’s dramatic and full of scandal.	conditional	Yes	Yes
378	Are you interested in history or historical novels?	I travel through pages.	sarcastic	Yes	Yes
379	Are you interested in history or historical novels?	It is much better than Horror.	contrastive	Yes	Yes
380	Are you interested in history or historical novels?	Yeah, depends on the topic.	ambiguous	Yes	Yes
381	Did you go to University?	If 4 years of caffeine and essays count.	conditional	Yes	Yes
382	Did you go to University?	I’ve got the student loans to prove it.	sarcastic	No	Yes
383	Did you go to University?	My major is very hot.	contrastive	Yes	Yes
384	Did you go to University?	Go Wildcats!	ambiguous	Yes	Yes
385	Are you living close?	If walking distance counts.	conditional	Yes	Yes
386	Are you living close?	I must drive for 0.01s.	sarcastic	No	Yes
387	Are you living close?	I’m basically around the corner.	contrastive	Yes	Yes
388	Are you living close?	I'm living next door.	ambiguous	Yes	Yes
389	Are you planning on traveling this year?	If plans don’t change.	conditional	No	Yes
390	Are you planning on traveling this year?	My suitcase is already judging me.	sarcastic	No	Yes
391	Are you planning on traveling this year?	Do you prefer beach more or modern city?	contrastive	No	Yes
392	Are you planning on traveling this year?	We will finish the part of Europe.	ambiguous	No	Yes
393	Will you be working here?	If they change mind and give me 5000.	conditional	No	Yes
394	Will you be working here?	I will be the boss here!	sarcastic	Yes	Yes
395	Will you be working here?	I hope everthing ther will be fine.	contrastive	Yes	Yes
396	Will you be working here?	I am going to buy new suits tomorrow.	ambiguous	Yes	Yes
397	Are your parents well?	If they do not work everyday probably no.	conditional	No	Yes
398	Are your parents well?	They are just do everything they like.	sarcastic	Yes	Yes
399	Are your parents well?	They are as energetic as children.	contrastive	Yes	Yes
400	Are your parents well?	They plan to travel around.	ambiguous	Yes	Yes
401	Did you graduate college?	If I did not go to Germany then no.	conditional	No	Yes
402	Did you graduate college?	Somehow made it through finals and coffee.	sarcastic	Yes	Yes
403	Did you graduate college?	Master's degree is more academic than bachelor's degree.	contrastive	Yes	Yes
404	Did you graduate college?	I just got my Masters degree.	ambiguous	Yes	Yes
405	Have you ever been to the fair?	If you remember last Sunday.	conditional	Yes	Yes
406	Have you ever been to the fair?	No one can refuse a intersting one.	sarcastic	No	Yes
407	Have you ever been to the fair?	Do not you think it is sometimes really better than play games?	contrastive	No	Yes
408	Have you ever been to the fair?	We were together last Sunday.	ambiguous	Yes	Yes
409	Do you enjoy spending time with family on the weekend?	If you know how much I am looking for that.	conditional	Yes	Yes
410	Do you enjoy spending time with family on the weekend?	It’s basically our weekly comedy show.	sarcastic	Yes	Yes
411	Do you enjoy spending time with family on the weekend?	Stay alone is not better.	contrastive	No	Yes
412	Do you enjoy spending time with family on the weekend?	I will buy some gifts for this weekend.	ambiguous	Yes	Yes
413	Do you like Indian music?	If I do not need understand the words.	conditional	No	Yes
414	Do you like Indian music?	Those beats stick in my head all day.	sarcastic	No	Yes
415	Do you like Indian music?	It is popular.	contrastive	Yes	Yes
416	Do you like Indian music?	It gets me dancing.	ambiguous	Yes	Yes
417	Would you like to see the gig at the town hall next week?	If my schedule’s open.	conditional	Yes	Yes
418	Would you like to see the gig at the town hall next week?	I’ll never say no to live music.	sarcastic	No	Yes
419	Would you like to see the gig at the town hall next week?	That sounds fun, especially if we go together.	contrastive	Yes	Yes
420	Would you like to see the gig at the town hall next week?	I have no plan.	ambiguous	No	Yes
421	Is there a neighborhood watch program?	If the flyers in my mailbox are any indication.	conditional	Yes	Yes
422	Is there a neighborhood watch program?	I think someone’s always peeking through the blinds.	sarcastic	Yes	Yes
423	Is there a neighborhood watch program?	There are  a few signs around.	contrastive	Yes	Yes
424	Is there a neighborhood watch program?	We haven't put up the signs yet.	ambiguous	No	Yes
425	Aren't they paying you above asking?	If I asked more.	conditional	No	Yes
426	Aren't they paying you above asking?	Totally, I’m starting to feel fancy.	sarcastic	Yes	Yes
427	Aren't they paying you above asking?	But I could get more at the new job.	contrastive	No	Yes
428	Aren't they paying you above asking?	I wish I asked much more.	ambiguous	No	Yes
429	Do you like solving crimes?	If I can not find a solution I will unhappy.	conditional	No	Yes
430	Do you like solving crimes?	I pause movies just to guess the ending.	sarcastic	No	Yes
431	Do you like solving crimes?	It likes a good chance to find a special way.	contrastive	Yes	Yes
432	Do you like solving crimes?	I always spend a whole day with my friends to find a solution.	ambiguous	Yes	Yes
433	Are you getting out of here?	If you have seen my luggage.	conditional	Yes	Yes
434	Are you getting out of here?	I’ve got one foot out the door already.	sarcastic	No	Yes
435	Are you getting out of here?	The farther the better.	contrastive	Yes	Yes
436	Are you getting out of here?	Heading out on the town.	ambiguous	No	Yes
437	Have you heard about the museums?	If you saw my new book about that.	conditional	Yes	Yes
438	Have you heard about the museums?	I’ve been meaning to check them out.	sarcastic	Yes	Yes
439	Have you heard about the museums?	They are diffrent.	contrastive	No	Yes
440	Have you heard about the museums?	I went to the clostest one last week.	ambiguous	Yes	Yes
441	Would the job pay better?	If you saw my new dress and new bag.	conditional	Yes	Yes
442	Would the job pay better?	Enough to finally fix my coffee machine.	sarcastic	Yes	Yes
443	Would the job pay better?	It's more than this job.	contrastive	Yes	Yes
444	Would the job pay better?	Do not you see my new bag?	ambiguous	Yes	Yes
445	Would you like to come around for dinner?	If you invite me.	conditional	Yes	Yes
446	Would you like to come around for dinner?	I’ll never say no to a home-cooked meal.	sarcastic	No	Yes
447	Would you like to come around for dinner?	You are better than me at cook.	contrastive	Yes	Yes
448	Would you like to come around for dinner?	I want to eat fish.	ambiguous	Yes	Yes
449	Are you happy with your coworkers now?	If you see the present from them.	conditional	Yes	Yes
450	Are you happy with your coworkers now?	It’s actually a decent group.	sarcastic	Yes	Yes
451	Are you happy with your coworkers now?	I have met the worse.	contrastive	No	Yes
452	Are you happy with your coworkers now?	We will have dinner tomorrow.	ambiguous	Yes	Yes
453	Have you got a busy weekend?	If I did not agree to attend the game then no.	conditional	No	Yes
454	Have you got a busy weekend?	I’ve got a to-do list and two days.	sarcastic	Yes	Yes
455	Have you got a busy weekend?	I have not spend a busy weekend for a long time.	contrastive	No	Yes
456	Have you got a busy weekend?	Cleaning the garage.	ambiguous	Yes	Yes
457	Are you a fan of science fiction?	If space battles and time travel are involved, definitely.	conditional	Yes	Yes
458	Are you a fan of science fiction?	I nerd out over anything with aliens.	sarcastic	Yes	Yes
459	Are you a fan of science fiction?	I have lots of science book than novels.	contrastive	Yes	Yes
460	Are you a fan of science fiction?	There is a new movie next week.	ambiguous	Yes	Yes
461	Want to go see a local tribute band?	If they play anything 80s.	conditional	Yes	Yes
462	Want to go see a local tribute band?	Everyone should learn it as local and traditional.	sarcastic	Yes	Yes
463	Want to go see a local tribute band?	Local is better than popular.	contrastive	Yes	Yes
464	Want to go see a local tribute band?	I got a ticket.	ambiguous	Yes	Yes
465	Are you wanting creative fulfillment in your work?	If I try my best.	conditional	Yes	Yes
466	Are you wanting creative fulfillment in your work?	Who does not have such a dream?	sarcastic	No	Yes
467	Are you wanting creative fulfillment in your work?	Everyone want to achieve it.	contrastive	Yes	Yes
468	Are you wanting creative fulfillment in your work?	I am not anxious, step by step.	ambiguous	No	Yes
469	You said your price range was $3,000 a month, right?	If accessories are not included.	conditional	No	Yes
470	You said your price range was $3,000 a month, right?	No one can afford more.	sarcastic	No	Yes
471	You said your price range was $3,000 a month, right?	I can go a little higher depending on the amenities.	contrastive	Yes	Yes
472	You said your price range was $3,000 a month, right?	It is suitable for all the things.	ambiguous	Yes	Yes
473	Are you currently working?	If I have no mails to answer.	conditional	No	Yes
474	Are you currently working?	Juggling tasks and coffee daily.	sarcastic	Yes	Yes
475	Are you currently working?	It’s a bit different from what I used to do.	contrastive	No	Yes
476	Are you currently working?	I’ve got a few things keeping me busy.	ambiguous	Yes	Yes
477	Have you ever been skating?	If I hadn't broken my leg then no.	conditional	No	Yes
478	Have you ever been skating?	I was scared that I will never do that.	sarcastic	No	Yes
479	Have you ever been skating?	It is more dangerous than running.	contrastive	No	Yes
480	Have you ever been skating?	I broke my leg.	ambiguous	No	Yes
481	Do you have an interest for seafood?	If it is grilled.	conditional	Yes	Yes
482	Do you have an interest for seafood?	I am the killer of fish.	sarcastic	Yes	Yes
483	Do you have an interest for seafood?	Grilled seafood is the most delicious.	contrastive	Yes	Yes
484	Do you have an interest for seafood?	I do not like eating row.	ambiguous	No	Yes
485	Do you want to do stuff that is unique to my town?	If I have the ability.	conditional	Yes	Yes
486	Do you want to do stuff that is unique to my town?	Just give me the full local experience.	sarcastic	Yes	Yes
487	Do you want to do stuff that is unique to my town?	It is challenging.	contrastive	Yes	Yes
